Date,SPX_Return,Gold_Return,10_Year_Return,NDX_Return
1986-06-30,4.997907,-4.39276,1.754386,2.843636
1986-09-30,-7.78185,2.702703,-0.96794,31.56071
1986-12-31,4.690472,8.181818,-5.89493,1.72006
1987-03-31,20.45257,0.110571,-7.53002,8.592264
1987-06-30,4.216661,7.996466,5.159705,-23.9659
1987-09-30,5.865132,-7.05666,1.902537,10.8864
1987-12-31,-23.2265,-3.67518,-1.3757,9.101928
1988-03-31,4.779828,-9.89262,0.199269,-5.1103
1988-06-30,5.643323,4.53854,-1.65728,-1.09271
1988-09-30,-0.58135,-6.59714,-0.8426,4.768615
1988-12-31,2.136736,-2.02545,7.647859,10.06887
1989-03-31,6.175284,-2.67691,-1.35775,10.67038
1989-06-30,7.837352,10.34858,2.176697,-1.1395
1989-09-30,9.802503,-8.63771,-4.32331,-4.77584
1989-12-31,1.217242,-2.78228,1.637197,11.87689
1990-03-31,-3.80872,11.83662,-2.44845,-25.7507
1990-06-30,5.318586,-1.56522,4.359313,13.25859
1990-09-30,-14.5159,-9.86875,0,32.10243
1990-12-31,7.897402,3.612433,-1.26582,-4.04296
1991-03-31,13.62728,-4.32432,5.224359,13.11591
1991-06-30,-1.08203,0.338983,4.568992,15.06599
1991-09-30,4.499407,-3.23761,-5.2141,-2.35904
1991-12-31,7.536224,0.203666,2.642901,-6.75437
1992-03-31,-3.21274,0.987224,4.640719,3.968728
1992-06-30,1.102331,-4.22657,-2.11731,15.0071
1992-09-30,2.366835,1.350946,4.004677,-0.21239
1992-12-31,4.28674,12.32227,1.911186,1.865506
1993-03-31,3.662987,-6.35549,1.820188,4.531239
1993-06-30,-0.2524,10.36328,-2.35645,4.066995
1993-09-30,1.864471,-0.02552,-5.65881,-3.84654
1993-12-31,1.638594,-1.14855,-3.11673,-5.91707
1994-03-31,-4.43349,1.781565,-1.45675,9.311685
1994-06-30,-0.3365,-2.48605,-1.50909,2.645677
1994-09-30,4.146127,2.029136,3.971232,10.60677
1994-12-31,-0.73916,-1.68281,5.954887,20.32428
1995-03-31,9.023015,-0.4668,0.141924,8.744866
1995-06-30,8.79551,1.120375,3.939909,-1.51261
1995-09-30,7.280404,1.984025,-4.96319,5.806709
1995-12-31,5.393474,-3.58767,-1.29125,11.08924
1996-03-31,4.80087,-1.02201,-0.20349,8.900044
1996-06-30,3.893106,-2.25046,1.718613,11.35877
1996-09-30,2.487214,-4.92958,-3.32188,-2.95851
1996-12-31,7.773785,-4.47293,2.251185,20.10388
1997-03-31,2.211302,-0.29824,2.085747,14.61088
1997-06-30,16.90881,-13.2815,1.844495,-9.69494
1997-09-30,7.020358,3.656433,0.19504,23.19943
1997-12-31,2.443839,-0.79867,1.307008,9.558763
1998-03-31,13.53215,-0.57028,6.670327,0.608671
1998-06-30,2.912639,-2.42915,-1.87854,36.45762
1998-09-30,-10.3039,-3.25035,-3.75033,14.7265
1998-12-31,20.86705,-5.78985,-3.05177,9.038212
1999-03-31,4.648438,13.01214,-0.95559,4.838534
1999-06-30,6.71191,-2.78617,-12.954,53.98605
1999-09-30,-6.55637,-3.8674,2.314588,18.60954
1999-12-31,14.54265,4.70546,0.414211,-14.4173
2000-03-31,1.996257,-6.14065,1.761066,-5.13259
2000-06-30,-2.93478,0,4.630496,-34.4174
2000-09-30,-1.24364,-5.7383,1.281478,-32.8159
2000-12-31,-8.09114,5.195812,-3.00132,16.3318
2001-03-31,-12.1149,7.777368,5.596845,-36.1613
2001-06-30,5.523429,-4.58276,-3.34674,34.97865
2001-09-30,-14.9851,8.458781,-2.5561,-7.878
2001-12-31,10.29262,3.734303,4.666768,-27.6292
2002-03-31,-0.0601,3.185728,8.086842,-20.8187
2002-06-30,-13.7338,7.502316,-0.74144,18.2386
2002-09-30,-17.6327,-3.53245,-0.1494,3.484498
2002-12-31,7.916299,3.09616,2.230686,17.96772
2003-03-31,-3.59619,11.29079,-2.39489,8.488878
2003-06-30,14.89307,7.96575,-2.05834,12.59646
2003-09-30,2.203181,2.691661,2.797495,-2.01033
2003-12-31,11.64192,-8.02715,-5.26672,5.438644
2004-03-31,1.285164,6.53944,3.015578,-6.85067
2004-06-30,1.299047,4.705039,-0.61043,14.75006
2004-09-30,-2.30181,-2.21259,-2.38693,-8.54903
