Index,Date,Quarter,Private Equity Returns,Cumulative,100,,
1986 Q2 ,1986-06-30,Q2,4.22,104.22,104.22,,
1986 Q3 ,1986-09-30,Q3,-2.6,101.62,101.62,,
1986 Q4 ,1986-12-31,Q4,1.11,102.73,102.73,,
1987 Q1 ,1987-03-31,Q1,3.73,106.46,106.46,,
1987 Q2 ,1987-06-30,Q2,1.28,107.74,107.74,,
1987 Q3 ,1987-09-30,Q3,1.79,109.53,109.53,,
1987 Q4 ,1987-12-31,Q4,-2.66,106.87,106.87,,
1988 Q1 ,1988-03-31,Q1,2.21,109.08,109.08,,
1988 Q2 ,1988-06-30,Q2,3.55,112.63,112.63,,
1988 Q3 ,1988-09-30,Q3,3.27,115.9,115.9,,
1988 Q4 ,1988-12-31,Q4,2.85,118.75,118.75,,
1989 Q1 ,1989-03-31,Q1,2.22,120.97,120.97,,
1989 Q2 ,1989-06-30,Q2,3.7,124.67,124.67,,
1989 Q3 ,1989-09-30,Q3,2,126.67,126.67,,
1989 Q4 ,1989-12-31,Q4,1.47,128.14,128.14,,
1990 Q1 ,1990-03-31,Q1,0.49,128.63,128.63,,
1990 Q2 ,1990-06-30,Q2,4.75,133.38,133.38,,
1990 Q3 ,1990-09-30,Q3,-0.14,133.24,133.24,,
1990 Q4 ,1990-12-31,Q4,0.18,133.42,133.42,,
1991 Q1 ,1991-03-31,Q1,2.77,136.19,136.19,,
1991 Q2 ,1991-06-30,Q2,1.27,137.46,137.46,,
1991 Q3 ,1991-09-30,Q3,2.3,139.76,139.76,,
1991 Q4,1991-12-31,Q4,3.15,142.91,142.91,,
1992 Q1,1992-03-31,Q1,2.08,144.99,144.99,,
1992 Q2 ,1992-06-30,Q2,0.85,145.84,145.84,,
1992 Q3 ,1992-09-30,Q3,2.41,148.25,148.25,,
1992 Q4 ,1992-12-31,Q4,9.15,157.4,157.4,,
1993 Q1 ,1993-03-31,Q1,3.22,160.62,160.62,,
1993 Q2 ,1993-06-30,Q2,5.89,166.51,166.51,,
1993 Q3 ,1993-09-30,Q3,6.31,172.82,172.82,,
1993 Q4 ,1993-12-31,Q4,6.93,179.75,179.75,,
1994 Q1 ,1994-03-31,Q1,1.24,180.99,180.99,,
1994 Q2 ,1994-06-30,Q2,2.77,183.76,183.76,,
1994 Q3 ,1994-09-30,Q3,2,185.76,185.76,,
1994 Q4 ,1994-12-31,Q4,6.24,192,192,,
1995 Q1 ,1995-03-31,Q1,3.86,195.86,195.86,,
1995 Q2 ,1995-06-30,Q2,4.14,200,200,,
1995 Q3 ,1995-09-30,Q3,4.3,204.3,204.3,,
1995 Q4 ,1995-12-31,Q4,10.13,214.43,214.43,,
1996 Q1,1996-03-31,Q1,5.92,220.35,220.35,,
1996 Q2 ,1996-06-30,Q2,6.42,226.77,226.77,,
1996 Q3 ,1996-09-30,Q3,6.31,233.08,233.08,,
1996 Q4 ,1996-12-31,Q4,6.96,240.04,240.04,,
1997 Q1 ,1997-03-31,Q1,0.99,241.03,241.03,,
1997 Q2 ,1997-06-30,Q2,10.88,251.91,251.91,,
1997 Q3 ,1997-09-30,Q3,7.77,259.68,259.68,,
1997 Q4 ,1997-12-31,Q4,8.16,267.84,267.84,,
1998 Q1 ,1998-03-31,Q1,9.54,277.38,277.38,,
1998 Q2 ,1998-06-30,Q2,5.09,282.47,282.47,,
1998 Q3 ,1998-09-30,Q3,-6.58,275.89,275.89,,
1998 Q4 ,1998-12-31,Q4,7.34,283.23,283.23,,
1999 Q1 ,1999-03-31,Q1,5.51,288.74,288.74,,
1999 Q2 ,1999-06-30,Q2,10.03,298.77,298.77,,
